f_S[GHz],real(Zin),imag(Zin)
-13.23,3.31E-03,5.9645847
-13.22,3.31E-03,5.9691036
-13.21,3.31E-03,5.9736294
-13.2,3.32E-03,5.9781621
-13.19,3.32E-03,5.9827017
-13.18,3.33E-03,5.9872481
-13.17,3.33E-03,5.9918015
-13.16,3.34E-03,5.9963619
-13.15,3.34E-03,6.0009291
-13.14,3.35E-03,6.0055034
-13.13,3.35E-03,6.0100846
-13.12,3.36E-03,6.0146728
-13.11,3.36E-03,6.0192681
-13.1,3.37E-03,6.0238704
-13.09,3.37E-03,6.0284797
-13.08,3.37E-03,6.0330961
-13.07,3.38E-03,6.0377195
-13.06,3.38E-03,6.0423501
-13.05,3.39E-03,6.0469878
-13.04,3.39E-03,6.0516326
-13.03,3.40E-03,6.0562846
-13.02,3.40E-03,6.0609437
-13.01,3.41E-03,6.06561
-13,3.41E-03,6.0702835
-12.99,3.42E-03,6.0749642
-12.98,3.42E-03,6.0796521
-12.97,3.43E-03,6.0843473
-12.96,3.43E-03,6.0890497
-12.95,3.44E-03,6.0937595
-12.94,3.44E-03,6.0984765
-12.93,3.45E-03,6.1032008
-12.92,3.45E-03,6.1079325
-12.91,3.46E-03,6.1126715
-12.9,3.46E-03,6.1174179
-12.89,3.47E-03,6.1221716
-12.88,3.47E-03,6.1269328
-12.87,3.48E-03,6.1317014
-12.86,3.48E-03,6.1364774
-12.85,3.48E-03,6.1412609
-12.84,3.49E-03,6.1460518
-12.83,3.49E-03,6.1508502
-12.82,3.50E-03,6.1556561
-12.81,3.50E-03,6.1604696
-12.8,3.51E-03,6.1652906
-12.79,3.51E-03,6.1701191
-12.78,3.52E-03,6.1749552
-12.77,3.52E-03,6.1797989
-12.76,3.53E-03,6.1846503
-12.75,3.53E-03,6.1895092
-12.74,3.54E-03,6.1943758
-12.73,3.54E-03,6.1992501
-12.72,3.55E-03,6.204132
-12.71,3.55E-03,6.2090216
-12.7,3.56E-03,6.213919
-12.69,3.56E-03,6.2188241
-12.68,3.57E-03,6.223737
-12.67,3.57E-03,6.2286576
-12.66,3.58E-03,6.233586
-12.65,3.59E-03,6.2385223
-12.64,3.59E-03,6.2434663
-12.63,3.60E-03,6.2484182
-12.62,3.60E-03,6.253378
-12.61,3.61E-03,6.2583457
-12.6,3.61E-03,6.2633213
-12.59,3.62E-03,6.2683048
-12.58,3.62E-03,6.2732962
-12.57,3.63E-03,6.2782956
-12.56,3.63E-03,6.283303
-12.55,3.64E-03,6.2883184
-12.54,3.64E-03,6.2933418
-12.53,3.65E-03,6.2983732
-12.52,3.65E-03,6.3034127
-12.51,3.66E-03,6.3084603
-12.5,3.66E-03,6.313516
-12.49,3.67E-03,6.3185798
-12.48,3.67E-03,6.3236517
-12.47,3.68E-03,6.3287318
-12.46,3.68E-03,6.33382
-12.45,3.69E-03,6.3389165
-12.44,3.69E-03,6.3440212
-12.43,3.70E-03,6.3491341
-12.42,3.71E-03,6.3542552
-12.41,3.71E-03,6.3593847
-12.4,3.72E-03,6.3645224
-12.39,3.72E-03,6.3696684
-12.38,3.73E-03,6.3748228
-12.37,3.73E-03,6.3799855
-12.36,3.74E-03,6.3851567
-12.35,3.74E-03,6.3903362
-12.34,3.75E-03,6.3955241
-12.33,3.75E-03,6.4007204
-12.32,3.76E-03,6.4059253
-12.31,3.77E-03,6.4111386
-12.3,3.77E-03,6.4163604
-12.29,3.78E-03,6.4215907
-12.28,3.78E-03,6.4268295
-12.27,3.79E-03,6.432077
-12.26,3.79E-03,6.437333
-12.25,3.80E-03,6.4425976
-12.24,3.80E-03,6.4478708
-12.23,3.81E-03,6.4531527
-12.22,3.81E-03,6.4584432
-12.21,3.82E-03,6.4637425
-12.2,3.83E-03,6.4690504
-12.19,3.83E-03,6.4743671
-12.18,3.84E-03,6.4796925
-12.17,3.84E-03,6.4850267
-12.16,3.85E-03,6.4903697
-12.15,3.85E-03,6.4957216
-12.14,3.86E-03,6.5010822
-12.13,3.87E-03,6.5064518
-12.12,3.87E-03,6.5118302
-12.11,3.88E-03,6.5172175
-12.1,3.88E-03,6.5226138
-12.09,3.89E-03,6.528019
-12.08,3.89E-03,6.5334331
-12.07,3.90E-03,6.5388563
-12.06,3.91E-03,6.5442885
-12.05,3.91E-03,6.5497297
-12.04,3.92E-03,6.55518
-12.03,3.92E-03,6.5606394
-12.02,3.93E-03,6.5661079
-12.01,3.93E-03,6.5715855
-12,3.94E-03,6.5770723
-11.99,3.95E-03,6.5825683
-11.98,3.95E-03,6.5880734
-11.97,3.96E-03,6.5935878
-11.96,3.96E-03,6.5991114
-11.95,3.97E-03,6.6046443
-11.94,3.98E-03,6.6101865
-11.93,3.98E-03,6.615738
-11.92,3.99E-03,6.6212989
-11.91,3.99E-03,6.6268691
-11.9,4.00E-03,6.6324487
-11.89,4.01E-03,6.6380377
-11.88,4.01E-03,6.6436362
-11.87,4.02E-03,6.6492441
-11.86,4.02E-03,6.6548615
-11.85,4.03E-03,6.6604884
-11.84,4.04E-03,6.6661248
-11.83,4.04E-03,6.6717708
-11.82,4.05E-03,6.6774264
-11.81,4.05E-03,6.6830916
-11.8,4.06E-03,6.6887664
-11.79,4.07E-03,6.6944508
-11.78,4.07E-03,6.700145
-11.77,4.08E-03,6.7058488
-11.76,4.09E-03,6.7115624
-11.75,4.09E-03,6.7172857
