f_S[GHz],real(Zin),imag(Zin),,,
-13.33,3.26E-03,5.918,,,
-13.32,3.26E-03,5.922,,,
-13.31,3.27E-03,5.926,,,
-13.3,3.27E-03,5.931,,,
-13.29,3.28E-03,5.935,,,
-13.28,3.28E-03,5.94,,,
-13.27,3.29E-03,5.944,,,
-13.26,3.29E-03,5.949,,,
-13.25,3.29E-03,5.953,,,
-13.24,3.30E-03,5.958,,,
-13.23,3.30E-03,5.962,,,
-13.22,3.31E-03,5.967,,,
-13.21,3.31E-03,5.971,,,
-13.2,3.32E-03,5.976,,,
-13.19,3.32E-03,5.98,,,
-13.18,3.33E-03,5.985,,,
-13.17,3.33E-03,5.99,,,
-13.16,3.34E-03,5.994,,,
-13.15,3.34E-03,5.999,,,
-13.14,3.35E-03,6.003,,,
-13.13,3.35E-03,6.008,,,
-13.12,3.35E-03,6.012,,,
-13.11,3.36E-03,6.017,,,
-13.1,3.36E-03,6.022,,,
-13.09,3.37E-03,6.026,,,
-13.08,3.37E-03,6.031,,,
-13.07,3.38E-03,6.035,,,
-13.06,3.38E-03,6.04,,,
-13.05,3.39E-03,6.045,,,
-13.04,3.39E-03,6.049,,,
-13.03,3.40E-03,6.054,,,
-13.02,3.40E-03,6.059,,,
-13.01,3.41E-03,6.063,,,
-13,3.41E-03,6.068,,,
-12.99,3.42E-03,6.073,,,
-12.98,3.42E-03,6.077,,,
-12.97,3.42E-03,6.082,,,
-12.96,3.43E-03,6.087,,,
-12.95,3.43E-03,6.091,,,
-12.94,3.44E-03,6.096,,,
-12.93,3.44E-03,6.101,,,
-12.92,3.45E-03,6.106,,,
-12.91,3.45E-03,6.11,,,
-12.9,3.46E-03,6.115,,,
-12.89,3.46E-03,6.12,,,
-12.88,3.47E-03,6.125,,,
-12.87,3.47E-03,6.129,,,
-12.86,3.48E-03,6.134,,,
-12.85,3.48E-03,6.139,,,
-12.84,3.49E-03,6.144,,,
-12.83,3.49E-03,6.148,,,
-12.82,3.50E-03,6.153,,,
-12.81,3.50E-03,6.158,,,
-12.8,3.51E-03,6.163,,,
-12.79,3.51E-03,6.168,,,
-12.78,3.52E-03,6.173,,,
-12.77,3.52E-03,6.177,,,
-12.76,3.53E-03,6.182,,,
-12.75,3.53E-03,6.187,,,
-12.74,3.54E-03,6.192,,,
-12.73,3.54E-03,6.197,,,
-12.72,3.55E-03,6.202,,,
-12.71,3.55E-03,6.207,,,
-12.7,3.56E-03,6.211,,,
-12.69,3.56E-03,6.216,,,
-12.68,3.57E-03,6.221,,,
-12.67,3.57E-03,6.226,,,
-12.66,3.58E-03,6.231,,,
-12.65,3.58E-03,6.236,,,
-12.64,3.59E-03,6.241,,,
-12.63,3.59E-03,6.246,,,
-12.62,3.60E-03,6.251,,,
-12.61,3.60E-03,6.256,,,
-12.6,3.61E-03,6.261,,,
-12.59,3.61E-03,6.266,,,
-12.58,3.62E-03,6.271,,,
-12.57,3.62E-03,6.276,,,
-12.56,3.63E-03,6.281,,,
-12.55,3.63E-03,6.286,,,
-12.54,3.64E-03,6.291,,,
-12.53,3.65E-03,6.296,,,
-12.52,3.65E-03,6.301,,,
-12.51,3.66E-03,6.306,,,
-12.5,3.66E-03,6.311,,,
-12.49,3.67E-03,6.316,,,
-12.48,3.67E-03,6.321,,,
-12.47,3.68E-03,6.326,,,
-12.46,3.68E-03,6.331,,,
-12.45,3.69E-03,6.336,,,
-12.44,3.69E-03,6.341,,,
-12.43,3.70E-03,6.347,,,
-12.42,3.70E-03,6.352,,,
-12.41,3.71E-03,6.357,,,
-12.4,3.71E-03,6.362,,,
-12.39,3.72E-03,6.367,,,
-12.38,3.72E-03,6.372,,,
-12.37,3.73E-03,6.377,,,
-12.36,3.74E-03,6.383,,,
-12.35,3.74E-03,6.388,,,
-12.34,3.75E-03,6.393,,,
-12.33,3.75E-03,6.398,,,
-12.32,3.76E-03,6.403,,,
-12.31,3.76E-03,6.409,,,
-12.3,3.77E-03,6.414,,,
-12.29,3.77E-03,6.419,,,
-12.28,3.78E-03,6.424,,,
-12.27,3.78E-03,6.429,,,
-12.26,3.79E-03,6.435,,,
-12.25,3.80E-03,6.44,,,
-12.24,3.80E-03,6.445,,,
-12.23,3.81E-03,6.451,,,
-12.22,3.81E-03,6.456,,,
-12.21,3.82E-03,6.461,,,
-12.2,3.82E-03,6.466,,,
-12.19,3.83E-03,6.472,,,
-12.18,3.84E-03,6.477,,,
-12.17,3.84E-03,6.482,,,
-12.16,3.85E-03,6.488,,,
-12.15,3.85E-03,6.493,,,
-12.14,3.86E-03,6.498,,,
-12.13,3.86E-03,6.504,,,
-12.12,3.87E-03,6.509,,,
-12.11,3.87E-03,6.515,,,
-12.1,3.88E-03,6.52,,,
-12.09,3.89E-03,6.525,,,
-12.08,3.89E-03,6.531,,,
-12.07,3.90E-03,6.536,,,
-12.06,3.90E-03,6.542,,,
-12.05,3.91E-03,6.547,,,
-12.04,3.92E-03,6.552,,,
-12.03,3.92E-03,6.558,,,
-12.02,3.93E-03,6.563,,,
-12.01,3.93E-03,6.569,,,
-12,3.94E-03,6.574,,,
-11.99,3.94E-03,6.58,,,
-11.98,3.95E-03,6.585,,,
-11.97,3.96E-03,6.591,,,
-11.96,3.96E-03,6.596,,,
-11.95,3.97E-03,6.602,,,
-11.94,3.97E-03,6.607,,,
-11.93,3.98E-03,6.613,,,
-11.92,3.99E-03,6.619,,,
-11.91,3.99E-03,6.624,,,
-11.9,4.00E-03,6.63,,,
-11.89,4.00E-03,6.635,,,
-11.88,4.01E-03,6.641,,,
-11.87,4.02E-03,6.646,,,
-11.86,4.02E-03,6.652,,,
-11.85,4.03E-03,6.658,,,
-11.84,4.03E-03,6.663,,,
-11.83,4.04E-03,6.669,,,
-11.82,4.05E-03,6.675,,,
-11.81,4.05E-03,6.68,,,
-11.8,4.06E-03,6.686,,,
-11.79,4.06E-03,6.692,,,
-11.78,4.07E-03,6.697,,,
-11.77,4.08E-03,6.703,,,
-11.76,4.08E-03,6.709,,,
-11.75,4.09E-03,6.714,,,
-11.74,4.09E-03,6.72,,,
-11.73,4.10E-03,6.726,,,
-11.72,4.11E-03,6.732,,,
-11.71,4.11E-03,6.737,,,
-11.7,4.12E-03,6.743,,,
-11.69,4.13E-03,6.749,,,
-11.68,4.13E-03,6.755,,,
-11.67,4.14E-03,6.761,,,
-11.66,4.14E-03,6.766,,,
-11.65,4.15E-03,6.772,,,
-11.64,4.16E-03,6.778,,,
-11.63,4.16E-03,6.784,,,
-11.62,4.17E-03,6.79,,,
-11.61,4.18E-03,6.796,,,
-11.6,4.18E-03,6.801,,,
-11.59,4.19E-03,6.807,,,
-11.58,4.20E-03,6.813,,,
-11.57,4.20E-03,6.819,,,
-11.56,4.21E-03,6.825,,,
-11.55,4.21E-03,6.831,,,
-11.54,4.22E-03,6.837,,,
-11.53,4.23E-03,6.843,,,
-11.52,4.23E-03,6.849,,,
-11.51,4.24E-03,6.855,,,
-11.5,4.25E-03,6.861,,,
-11.49,4.25E-03,6.867,,,
-11.48,4.26E-03,6.873,,,
-11.47,4.27E-03,6.879,,,
-11.46,4.27E-03,6.885,,,
-11.45,4.28E-03,6.891,,,
-11.44,4.29E-03,6.897,,,
-11.43,4.29E-03,6.903,,,
-11.42,4.30E-03,6.909,,,
-11.41,4.31E-03,6.915,,,
-11.4,4.31E-03,6.921,,,
-11.39,4.32E-03,6.927,,,
-11.38,4.33E-03,6.933,,,
-11.37,4.33E-03,6.939,,,
-11.36,4.34E-03,6.945,,,
-11.35,4.35E-03,6.951,,,
-11.34,4.35E-03,6.958,,,
-11.33,4.36E-03,6.964,,,
-11.32,4.37E-03,6.97,,,
-11.31,4.37E-03,6.976,,,
-11.3,4.38E-03,6.982,,,
-11.29,4.39E-03,6.988,,,
-11.28,4.39E-03,6.995,,,
-11.27,4.40E-03,7.001,,,
-11.26,4.41E-03,7.007,,,
-11.25,4.41E-03,7.013,,,
-11.24,4.42E-03,7.02,,,
-11.23,4.43E-03,7.026,,,
-11.22,4.44E-03,7.032,,,
-11.21,4.44E-03,7.038,,,
-11.2,4.45E-03,7.045,,,
-11.19,4.46E-03,7.051,,,
-11.18,4.46E-03,7.057,,,
-11.17,4.47E-03,7.064,,,
-11.16,4.48E-03,7.07,,,
-11.15,4.48E-03,7.076,,,
-11.14,4.49E-03,7.083,,,
-11.13,4.50E-03,7.089,,,
-11.12,4.51E-03,7.095,,,
-11.11,4.51E-03,7.102,,,
-11.1,4.52E-03,7.108,,,
-11.09,4.53E-03,7.115,,,
-11.08,4.53E-03,7.121,,,
-11.07,4.54E-03,7.128,,,
-11.06,4.55E-03,7.134,,,
-11.05,4.56E-03,7.141,,,
-11.04,4.56E-03,7.147,,,
-11.03,4.57E-03,7.153,,,
-11.02,4.58E-03,7.16,,,
-11.01,4.58E-03,7.166,,,
-11,4.59E-03,7.173,,,
-10.99,4.60E-03,7.18,,,
