f_S[GHz],real(Zin),imag(Zin),,,,,
-13.49,2.07E-02,38.01,,,,,
-13.48,2.08E-02,38.04,,,,,
-13.47,2.08E-02,38.06,,,,,
-13.46,2.08E-02,38.09,,,,,
-13.45,2.08E-02,38.12,,,,,
-13.44,2.09E-02,38.15,,,,,
-13.43,2.09E-02,38.18,,,,,
-13.42,2.09E-02,38.21,,,,,
-13.41,2.10E-02,38.23,,,,,
-13.4,2.10E-02,38.26,,,,,
-13.39,2.10E-02,38.29,,,,,
-13.38,2.10E-02,38.32,,,,,
-13.37,2.11E-02,38.35,,,,,
-13.36,2.11E-02,38.38,,,,,
-13.35,2.11E-02,38.41,,,,,
-13.34,2.12E-02,38.44,,,,,
-13.33,2.12E-02,38.46,,,,,
-13.32,2.12E-02,38.49,,,,,
-13.31,2.12E-02,38.52,,,,,
-13.3,2.13E-02,38.55,,,,,
-13.29,2.13E-02,38.58,,,,,
-13.28,2.13E-02,38.61,,,,,
-13.27,2.14E-02,38.64,,,,,
-13.26,2.14E-02,38.67,,,,,
-13.25,2.14E-02,38.7,,,,,
-13.24,2.14E-02,38.73,,,,,
-13.23,2.15E-02,38.76,,,,,
-13.22,2.15E-02,38.78,,,,,
-13.21,2.15E-02,38.81,,,,,
-13.2,2.16E-02,38.84,,,,,
-13.19,2.16E-02,38.87,,,,,
-13.18,2.16E-02,38.9,,,,,
-13.17,2.17E-02,38.93,,,,,
-13.16,2.17E-02,38.96,,,,,
-13.15,2.17E-02,38.99,,,,,
-13.14,2.17E-02,39.02,,,,,
-13.13,2.18E-02,39.05,,,,,
-13.12,2.18E-02,39.08,,,,,
-13.11,2.18E-02,39.11,,,,,
-13.1,2.19E-02,39.14,,,,,
-13.09,2.19E-02,39.17,,,,,
-13.08,2.19E-02,39.2,,,,,
-13.07,2.20E-02,39.23,,,,,
-13.06,2.20E-02,39.26,,,,,
-13.05,2.20E-02,39.29,,,,,
-13.04,2.20E-02,39.32,,,,,
-13.03,2.21E-02,39.35,,,,,
-13.02,2.21E-02,39.38,,,,,
-13.01,2.21E-02,39.41,,,,,
-13,2.22E-02,39.44,,,,,
-12.99,2.22E-02,39.47,,,,,
-12.98,2.22E-02,39.5,,,,,
-12.97,2.23E-02,39.53,,,,,
-12.96,2.23E-02,39.56,,,,,
-12.95,2.23E-02,39.59,,,,,
-12.94,2.24E-02,39.62,,,,,
-12.93,2.24E-02,39.66,,,,,
-12.92,2.24E-02,39.69,,,,,
-12.91,2.25E-02,39.72,,,,,
-12.9,2.25E-02,39.75,,,,,
-12.89,2.25E-02,39.78,,,,,
-12.88,2.25E-02,39.81,,,,,
-12.87,2.26E-02,39.84,,,,,
-12.86,2.26E-02,39.87,,,,,
-12.85,2.26E-02,39.9,,,,,
-12.84,2.27E-02,39.93,,,,,
-12.83,2.27E-02,39.96,,,,,
-12.82,2.27E-02,40,,,,,
-12.81,2.28E-02,40.03,,,,,
-12.8,2.28E-02,40.06,,,,,
-12.79,2.28E-02,40.09,,,,,
-12.78,2.29E-02,40.12,,,,,
-12.77,2.29E-02,40.15,,,,,
-12.76,2.29E-02,40.18,,,,,
-12.75,2.30E-02,40.22,,,,,
-12.74,2.30E-02,40.25,,,,,
-12.73,2.30E-02,40.28,,,,,
-12.72,2.31E-02,40.31,,,,,
-12.71,2.31E-02,40.34,,,,,
-12.7,2.31E-02,40.37,,,,,
-12.69,2.32E-02,40.41,,,,,
-12.68,2.32E-02,40.44,,,,,
-12.67,2.32E-02,40.47,,,,,
-12.66,2.33E-02,40.5,,,,,
-12.65,2.33E-02,40.53,,,,,
-12.64,2.33E-02,40.57,,,,,
-12.63,2.34E-02,40.6,,,,,
-12.62,2.34E-02,40.63,,,,,
-12.61,2.34E-02,40.66,,,,,
-12.6,2.35E-02,40.7,,,,,
-12.59,2.35E-02,40.73,,,,,
-12.58,2.35E-02,40.76,,,,,
-12.57,2.36E-02,40.79,,,,,
-12.56,2.36E-02,40.83,,,,,
-12.55,2.36E-02,40.86,,,,,
-12.54,2.37E-02,40.89,,,,,
-12.53,2.37E-02,40.92,,,,,
-12.52,2.37E-02,40.96,,,,,
-12.51,2.38E-02,40.99,,,,,
-12.5,2.38E-02,41.02,,,,,
-12.49,2.38E-02,41.05,,,,,
-12.48,2.39E-02,41.09,,,,,
-12.47,2.39E-02,41.12,,,,,
-12.46,2.39E-02,41.15,,,,,
-12.45,2.40E-02,41.19,,,,,
-12.44,2.40E-02,41.22,,,,,
-12.43,2.40E-02,41.25,,,,,
-12.42,2.41E-02,41.29,,,,,
-12.41,2.41E-02,41.32,,,,,
-12.4,2.41E-02,41.35,,,,,
-12.39,2.42E-02,41.39,,,,,
-12.38,2.42E-02,41.42,,,,,
-12.37,2.42E-02,41.45,,,,,
-12.36,2.43E-02,41.49,,,,,
-12.35,2.43E-02,41.52,,,,,
-12.34,2.44E-02,41.55,,,,,
